Image ID,Color Harmony,Compositional Novelty,Subject Clarity,Perceived Technical Complexity,Overall Aesthetic Preference,Style Label
IMG_0089,4.00,2.67,4.33,2.00,4.00,GAN-synthesised
IMG_0090,4.33,3.00,2.00,4.00,3.33,pixel-collage
IMG_0091,4.00,1.67,2.67,3.00,3.33,optical-flow
IMG_0092,2.33,3.00,4.00,3.00,2.33,procedural-texture
IMG_0093,4.00,1.33,3.33,2.67,3.00,optical-flow
IMG_0094,3.33,4.33,4.00,4.33,4.00,glitch
IMG_0095,3.00,3.67,3.00,4.67,3.33,glitch
IMG_0096,3.33,3.33,3.33,4.67,3.67,algorithmic-stroke
IMG_0097,4.33,2.33,4.33,3.33,3.67,voxel
IMG_0098,3.67,3.33,3.67,3.00,2.67,shader
IMG_0099,4.00,2.67,2.33,4.00,4.00,glitch
IMG_0100,4.00,2.00,3.00,3.33,3.33,pixel-collage
IMG_0101,3.67,4.00,4.00,4.00,4.00,algorithmic-stroke
IMG_0102,4.00,2.33,3.00,3.00,4.00,voxel
IMG_0103,2.33,2.33,3.33,2.33,3.00,glitch
IMG_0104,3.00,4.00,5.00,2.33,3.33,data-mapping
IMG_0105,2.00,2.33,2.33,3.67,2.33,glitch
IMG_0106,3.67,2.00,3.00,2.67,3.00,fractal
IMG_0107,3.33,3.33,2.33,5.00,3.00,glitch
IMG_0108,3.00,2.67,3.00,4.33,3.67,noise-field
IMG_0109,3.33,4.00,4.33,4.00,4.33,glitch
IMG_0110,3.67,2.67,3.00,3.00,4.00,glitch
IMG_0111,4.00,1.33,4.00,3.00,3.67,procedural-texture
IMG_0112,5.00,2.33,3.00,2.67,4.00,voxel
IMG_0113,4.00,3.33,4.67,3.00,4.33,pixel-collage
IMG_0114,4.33,3.00,4.33,3.67,4.67,algorithmic-stroke
IMG_0115,2.67,3.33,1.67,5.00,3.00,noise-field
IMG_0116,3.33,3.00,2.67,1.67,2.33,pixel-collage
IMG_0117,3.00,3.33,3.33,4.33,3.33,algorithmic-stroke
IMG_0118,5.00,5.00,4.67,3.00,5.00,glitch
IMG_0119,3.33,1.67,2.33,4.00,3.00,GAN-synthesised
IMG_0120,2.67,3.33,2.67,4.33,3.00,algorithmic-stroke
IMG_0121,4.67,2.67,4.00,3.33,4.33,voxel
IMG_0122,3.00,2.33,3.67,2.33,2.33,procedural-texture
IMG_0123,4.00,4.00,4.00,4.00,4.00,algorithmic-stroke
IMG_0124,3.00,4.67,4.33,4.00,4.33,noise-field
IMG_0125,1.67,3.33,2.33,4.33,2.67,glitch
IMG_0126,3.00,4.33,3.00,5.00,3.33,noise-field
IMG_0127,1.67,3.67,4.00,2.33,2.00,optical-flow
IMG_0128,2.67,2.67,1.00,4.67,2.33,fractal
IMG_0129,4.00,2.00,3.33,2.33,3.00,GAN-synthesised
IMG_0130,4.33,3.00,2.33,3.67,4.00,pixel-collage
IMG_0131,2.00,5.00,4.67,4.00,3.33,glitch
IMG_0132,2.67,1.67,2.00,4.00,2.00,glitch
IMG_0133,3.33,3.00,2.00,2.67,2.67,glitch
IMG_0134,3.00,2.33,3.00,3.67,2.67,glitch
IMG_0135,2.67,4.67,3.00,4.67,3.67,glitch
IMG_0136,2.67,3.33,4.00,4.33,3.33,glitch
IMG_0137,2.67,1.33,3.00,2.33,2.00,data-mapping
IMG_0138,1.67,2.67,2.67,4.33,2.33,glitch
IMG_0139,4.00,2.67,3.00,5.00,3.67,noise-field
IMG_0140,2.67,2.33,2.00,5.00,3.00,algorithmic-stroke
IMG_0141,4.67,1.00,2.67,2.00,4.00,voxel
IMG_0142,4.33,3.33,2.00,3.00,3.67,GAN-synthesised
IMG_0143,2.33,2.33,4.00,4.00,2.33,optical-flow
IMG_0144,4.00,2.33,3.00,4.00,3.67,glitch
IMG_0145,2.67,2.67,3.33,2.67,3.00,voxel
IMG_0146,4.33,3.33,3.67,4.00,4.33,glitch
IMG_0147,3.67,3.00,2.00,2.67,2.67,pixel-collage
IMG_0148,4.00,3.33,4.33,3.33,4.00,pixel-collage
IMG_0149,2.33,2.67,3.33,2.33,2.00,GAN-synthesised
IMG_0150,3.00,2.67,4.67,4.00,3.67,voxel
IMG_0151,3.33,2.67,2.33,4.67,3.33,fractal
IMG_0152,2.00,4.67,4.67,4.67,4.33,noise-field
IMG_0153,2.00,3.33,3.67,5.00,3.00,glitch
IMG_0154,4.00,4.00,4.00,4.67,4.33,glitch
IMG_0155,4.33,2.33,1.67,2.67,3.67,pixel-collage
IMG_0156,2.33,4.00,3.67,4.67,3.00,noise-field
IMG_0157,2.33,4.00,3.67,4.00,4.00,noise-field
IMG_0158,4.00,2.33,1.67,3.33,3.33,voxel
IMG_0159,1.67,2.33,2.67,4.00,1.67,glitch
IMG_0160,1.67,4.00,2.33,5.00,2.67,noise-field
IMG_0161,2.33,3.33,3.00,5.00,3.00,algorithmic-stroke
IMG_0162,4.67,3.33,4.67,3.00,5.00,voxel
IMG_0163,3.00,2.33,2.33,4.67,3.67,fractal
IMG_0164,3.00,3.67,3.00,5.00,4.33,algorithmic-stroke
IMG_0165,2.33,4.00,2.67,4.67,3.00,noise-field
IMG_0166,3.67,3.33,4.00,4.00,4.67,noise-field
IMG_0167,5.00,2.00,3.00,2.67,3.33,data-mapping
IMG_0168,3.33,2.33,3.00,4.00,3.00,algorithmic-stroke
IMG_0169,5.00,3.33,3.67,4.00,5.00,fractal
IMG_0170,3.00,1.67,2.00,1.67,1.33,procedural-texture
IMG_0171,2.67,3.33,3.00,5.00,3.00,noise-field
IMG_0172,3.33,2.00,2.67,3.00,3.00,GAN-synthesised
IMG_0173,5.00,4.00,4.00,4.33,5.00,fractal
IMG_0174,2.67,2.00,3.00,2.00,2.00,procedural-texture
IMG_0175,4.67,2.33,4.00,2.33,5.00,voxel
IMG_0176,2.00,3.33,3.00,4.67,2.67,algorithmic-stroke
IMG_0177,4.33,3.00,3.67,2.33,4.00,voxel
IMG_0178,3.00,1.33,2.33,3.33,2.67,optical-flow
IMG_0179,3.67,1.33,3.33,2.67,2.33,data-mapping
IMG_0180,3.00,3.00,3.33,4.00,3.33,fractal
IMG_0181,3.33,3.33,3.33,5.00,4.33,glitch
IMG_0182,3.33,1.67,2.00,3.00,3.33,GAN-synthesised
IMG_0183,2.33,3.67,3.33,3.67,3.00,algorithmic-stroke
IMG_0184,2.00,1.33,1.00,4.00,1.67,algorithmic-stroke
IMG_0185,2.33,3.00,4.00,4.67,2.67,glitch
IMG_0186,3.67,2.00,2.33,3.67,3.00,procedural-texture
IMG_0187,2.67,4.00,2.00,3.33,3.00,shader
IMG_0188,2.00,4.67,2.00,4.67,2.33,fractal
IMG_0189,4.33,3.67,2.67,4.00,4.00,noise-field
IMG_0190,3.33,2.33,3.00,3.67,3.00,algorithmic-stroke
IMG_0191,5.00,2.33,3.67,3.67,4.67,algorithmic-stroke
IMG_0192,4.00,1.33,2.67,3.00,3.00,fractal
IMG_0193,4.00,1.00,2.33,2.67,2.67,voxel
IMG_0194,2.00,3.67,3.33,4.67,3.00,fractal
IMG_0195,3.00,2.33,3.00,3.67,3.33,voxel
IMG_0196,3.33,1.67,2.00,4.33,3.33,fractal
IMG_0197,2.67,3.33,3.00,4.33,3.00,noise-field
IMG_0198,4.67,3.00,4.33,4.33,5.00,algorithmic-stroke
IMG_0199,5.00,2.00,3.33,3.33,4.67,voxel
IMG_0200,3.33,4.00,5.00,3.33,4.33,fractal
IMG_0201,2.33,4.00,3.00,4.67,4.33,glitch
IMG_0202,5.00,3.00,2.67,3.33,3.33,pixel-collage
IMG_0203,2.67,3.00,2.33,4.33,3.00,glitch
IMG_0204,4.33,2.33,2.00,4.67,3.33,algorithmic-stroke
IMG_0205,2.33,4.00,3.67,4.67,3.33,noise-field
IMG_0206,1.67,4.33,3.00,4.33,3.00,noise-field
IMG_0207,2.67,3.33,3.67,5.00,3.67,glitch
IMG_0208,4.33,1.67,3.33,3.00,4.00,optical-flow
IMG_0209,3.67,5.00,5.00,3.67,4.67,glitch
IMG_0210,4.00,2.00,3.00,1.67,3.33,data-mapping
IMG_0211,3.00,2.67,2.00,1.33,2.67,data-mapping
IMG_0212,4.00,3.33,4.67,4.00,4.33,algorithmic-stroke
IMG_0213,4.00,3.67,3.00,2.33,3.00,procedural-texture
IMG_0214,4.00,1.00,2.00,2.00,1.67,optical-flow
IMG_0215,5.00,3.67,4.00,2.33,5.00,voxel
IMG_0216,2.33,4.33,4.00,4.00,3.67,optical-flow
IMG_0217,2.67,3.33,4.33,3.00,3.00,shader
IMG_0218,2.67,3.00,3.33,4.00,3.33,glitch
IMG_0219,2.00,4.33,3.00,4.33,3.33,glitch
IMG_0220,5.00,2.00,3.00,2.00,4.67,fractal
IMG_0221,2.67,2.33,1.33,4.67,2.67,fractal
IMG_0222,2.00,4.67,4.00,4.67,3.33,noise-field
IMG_0223,3.00,2.33,2.00,3.67,2.33,fractal
IMG_0224,2.00,3.67,1.67,4.33,2.33,fractal
IMG_0225,2.67,3.33,2.67,3.67,2.33,glitch
IMG_0226,5.00,4.00,4.33,4.33,4.67,noise-field
IMG_0227,4.33,3.00,2.33,4.00,3.67,fractal
IMG_0228,1.67,5.00,4.33,4.33,3.33,glitch
IMG_0229,3.33,3.33,4.33,3.00,3.67,shader
IMG_0230,3.33,3.33,2.67,4.67,4.00,glitch
IMG_0231,4.00,2.00,3.33,2.00,3.33,procedural-texture
IMG_0232,2.67,2.33,2.33,4.33,2.67,algorithmic-stroke
IMG_0233,4.67,1.67,3.00,2.67,3.67,pixel-collage
IMG_0234,4.00,1.33,2.67,2.67,3.33,optical-flow
IMG_0235,3.00,2.33,4.00,2.33,3.67,fractal
IMG_0236,3.67,1.33,3.67,2.67,3.33,fractal
IMG_0237,3.00,2.00,3.00,4.33,3.00,glitch
IMG_0238,2.33,4.33,4.00,4.67,4.00,fractal
IMG_0239,3.67,1.00,2.67,2.00,2.67,GAN-synthesised
IMG_0240,4.33,3.00,5.00,3.67,5.00,voxel
IMG_0241,2.00,3.00,3.67,3.67,3.00,noise-field
IMG_0242,2.00,4.00,3.67,4.00,3.67,fractal
IMG_0243,3.00,1.33,2.67,2.67,2.00,GAN-synthesised
IMG_0244,2.00,3.00,3.67,4.00,2.33,algorithmic-stroke
IMG_0245,2.67,4.33,3.67,4.00,3.00,noise-field
IMG_0246,4.33,3.00,5.00,3.00,4.67,data-mapping
IMG_0247,3.00,3.67,2.33,4.00,2.67,noise-field
IMG_0248,2.67,1.00,2.33,2.67,1.67,procedural-texture
IMG_0249,5.00,2.67,3.33,3.33,4.67,voxel
IMG_0250,3.33,3.00,3.67,1.33,3.33,shader
IMG_0251,3.00,4.00,2.33,5.00,3.00,noise-field
IMG_0252,3.00,2.33,4.67,2.33,2.33,procedural-texture
IMG_0253,3.33,4.00,4.67,3.33,3.67,pixel-collage
IMG_0254,2.67,5.00,4.67,4.00,4.33,noise-field
IMG_0255,3.67,2.33,3.00,3.67,3.67,noise-field
IMG_0256,3.00,4.00,5.00,2.00,3.33,voxel
IMG_0257,2.33,3.33,4.67,2.33,3.67,shader
IMG_0258,4.00,2.00,3.00,3.67,3.67,fractal
IMG_0259,2.67,3.67,2.67,5.00,2.67,glitch
IMG_0260,3.33,3.33,4.00,2.33,3.67,pixel-collage
IMG_0261,2.67,3.67,2.00,5.00,3.00,glitch
IMG_0262,2.67,1.67,3.67,1.67,2.00,data-mapping
IMG_0263,3.67,2.00,4.00,2.67,3.67,procedural-texture
IMG_0264,3.00,4.67,4.00,4.00,3.67,glitch
IMG_0265,2.67,2.33,2.67,3.00,2.67,procedural-texture
IMG_0266,3.00,3.00,2.67,4.67,2.67,algorithmic-stroke
IMG_0267,4.00,2.00,3.33,2.33,3.00,procedural-texture
IMG_0268,4.67,1.33,1.33,3.00,2.67,GAN-synthesised
IMG_0269,3.33,3.67,3.67,2.67,3.33,GAN-synthesised
IMG_0270,3.33,3.67,1.33,5.00,3.67,noise-field
IMG_0271,3.00,3.33,4.33,4.33,3.67,noise-field
IMG_0272,4.00,4.67,3.33,5.00,4.67,glitch
IMG_0273,3.67,2.67,4.67,2.00,4.00,voxel
IMG_0274,3.00,3.00,2.33,2.67,2.00,procedural-texture
IMG_0275,3.00,3.67,1.67,3.67,3.00,glitch
IMG_0276,5.00,2.33,4.00,3.33,4.67,fractal
IMG_0277,4.67,1.00,3.33,2.00,3.33,voxel
IMG_0278,4.00,2.67,2.67,3.67,3.67,glitch
IMG_0279,3.00,3.00,2.67,5.00,3.33,fractal
IMG_0280,4.00,4.67,3.67,4.67,4.67,noise-field
IMG_0281,3.00,3.00,3.00,2.33,2.00,optical-flow
IMG_0282,3.33,4.00,5.00,2.00,4.00,procedural-texture
IMG_0283,2.33,2.33,2.00,4.00,1.67,algorithmic-stroke
IMG_0284,5.00,1.67,3.33,2.67,4.00,algorithmic-stroke
IMG_0285,2.33,4.33,4.33,4.33,3.33,noise-field
IMG_0286,4.67,2.33,3.67,4.00,4.00,voxel
IMG_0287,3.67,4.00,3.33,4.00,4.33,glitch
IMG_0288,2.00,4.33,4.00,3.67,3.00,noise-field
IMG_0289,3.33,2.00,2.00,2.33,2.33,pixel-collage
IMG_0290,4.00,3.00,3.67,3.00,3.67,procedural-texture
IMG_0291,3.67,1.67,4.33,3.67,3.00,voxel
IMG_0292,4.33,2.00,3.33,3.33,4.00,fractal
IMG_0293,2.33,2.67,1.33,4.00,1.67,algorithmic-stroke
IMG_0294,3.00,5.00,3.67,4.67,4.00,noise-field
IMG_0295,2.67,4.00,4.67,2.67,4.00,voxel
IMG_0296,3.33,3.67,2.00,4.33,4.00,GAN-synthesised
IMG_0297,2.00,4.33,3.67,5.00,3.67,glitch
IMG_0298,1.67,3.33,2.67,3.00,2.00,optical-flow
IMG_0299,4.33,3.00,2.33,3.00,3.33,data-mapping
IMG_0300,2.00,4.33,3.00,3.00,1.67,optical-flow
IMG_0301,3.00,2.33,3.67,2.67,3.00,data-mapping
IMG_0302,2.67,4.67,4.33,4.33,3.67,noise-field
IMG_0303,5.00,2.33,4.33,3.00,4.67,fractal
IMG_0304,2.67,2.00,3.00,4.00,2.00,algorithmic-stroke
IMG_0305,4.33,2.33,4.00,3.00,5.00,fractal
IMG_0306,2.00,3.67,3.33,4.67,3.33,noise-field
IMG_0307,3.67,3.00,3.00,4.00,4.00,pixel-collage
IMG_0308,4.00,4.00,3.00,2.33,4.00,shader
IMG_0309,2.67,4.00,4.33,4.33,3.00,noise-field
IMG_0310,2.00,3.33,2.33,4.00,2.67,glitch
IMG_0311,3.00,3.67,5.00,4.00,4.33,noise-field
IMG_0312,3.67,1.67,3.33,3.33,3.00,fractal
IMG_0313,4.33,4.00,3.67,3.67,5.00,pixel-collage
IMG_0314,2.33,2.33,4.00,3.00,2.33,procedural-texture
IMG_0315,3.00,2.00,4.00,3.33,3.67,optical-flow
IMG_0316,4.33,2.00,3.67,3.67,4.00,fractal
IMG_0317,3.67,3.33,4.00,3.00,4.33,optical-flow
IMG_0318,4.00,3.00,2.67,4.00,3.67,glitch
IMG_0319,2.33,4.00,3.00,4.33,2.33,shader
IMG_0320,4.33,4.00,4.33,3.33,4.67,voxel
IMG_0321,4.00,2.67,4.33,2.00,4.00,data-mapping
IMG_0322,3.00,3.67,3.00,2.33,3.00,data-mapping
IMG_0323,4.33,2.33,2.67,4.00,4.00,algorithmic-stroke
IMG_0324,2.67,2.67,3.33,3.00,3.33,fractal
IMG_0325,2.67,3.00,4.00,4.00,3.33,algorithmic-stroke
IMG_0326,2.67,3.00,2.00,2.67,1.33,data-mapping
IMG_0327,3.00,2.00,4.00,3.00,3.33,voxel
IMG_0328,3.33,3.67,4.00,3.33,3.67,voxel
IMG_0329,4.33,2.67,2.67,3.67,3.67,optical-flow
IMG_0330,2.00,4.67,3.00,4.67,3.00,glitch
IMG_0331,4.00,1.67,4.00,2.33,2.67,voxel
IMG_0332,4.67,4.00,4.67,4.00,5.00,algorithmic-stroke
IMG_0333,3.00,4.00,4.33,3.67,3.67,glitch
IMG_0334,5.00,1.67,3.67,3.00,4.00,pixel-collage
IMG_0335,2.00,4.33,4.33,4.67,3.33,glitch
IMG_0336,2.67,2.00,4.00,3.33,2.33,voxel
IMG_0337,2.67,2.33,2.67,4.00,2.33,glitch
IMG_0338,3.00,4.00,4.33,3.67,3.00,procedural-texture
IMG_0339,3.67,4.33,4.00,3.67,4.67,voxel
IMG_0340,2.67,1.67,2.00,3.33,1.33,procedural-texture
IMG_0341,3.67,2.67,3.33,3.00,2.67,glitch
IMG_0342,2.67,2.67,2.67,3.67,2.33,procedural-texture
IMG_0343,2.67,4.33,4.33,3.00,3.00,glitch
IMG_0344,2.33,5.00,5.00,4.00,3.67,noise-field
IMG_0345,3.33,2.67,4.67,2.33,4.00,voxel
IMG_0346,5.00,1.00,2.67,1.67,3.00,voxel
IMG_0347,4.00,2.67,3.33,3.67,3.67,pixel-collage
IMG_0348,3.00,4.33,2.67,4.67,3.33,glitch
IMG_0349,2.00,3.33,3.33,4.00,3.00,noise-field
IMG_0350,2.67,3.67,3.00,3.67,2.67,pixel-collage
IMG_0351,2.00,4.33,2.67,4.67,3.00,noise-field
IMG_0352,3.00,1.33,1.67,4.00,3.00,fractal
IMG_0353,3.67,3.00,4.00,2.33,3.67,GAN-synthesised
IMG_0354,4.00,4.00,5.00,3.67,4.67,pixel-collage
IMG_0355,3.67,2.00,2.67,2.00,2.33,data-mapping
IMG_0356,3.00,4.67,2.67,4.33,3.67,noise-field
IMG_0357,5.00,1.33,4.00,1.67,3.67,optical-flow
IMG_0358,2.00,3.33,4.00,4.33,3.00,glitch
IMG_0359,2.00,3.33,2.33,4.33,2.67,noise-field
IMG_0360,2.33,3.67,3.33,3.67,2.33,voxel
IMG_0361,2.00,3.00,4.33,5.00,3.33,algorithmic-stroke
IMG_0362,3.67,4.67,5.00,4.67,4.67,noise-field
IMG_0363,3.33,1.00,2.00,3.33,2.33,algorithmic-stroke
IMG_0364,4.33,1.67,2.33,2.33,4.00,GAN-synthesised
IMG_0365,3.33,1.67,3.33,2.00,3.00,procedural-texture
IMG_0366,2.67,4.00,3.33,4.33,2.67,noise-field
IMG_0367,3.00,3.33,3.00,4.33,3.00,noise-field
IMG_0368,3.67,1.33,4.33,3.00,3.00,voxel
IMG_0369,2.67,2.33,2.33,3.33,2.00,glitch
IMG_0370,4.00,3.67,4.00,3.33,3.67,GAN-synthesised
IMG_0371,5.00,2.33,3.67,3.33,4.67,pixel-collage
IMG_0372,3.33,3.33,2.33,2.33,2.00,shader
IMG_0373,4.67,1.67,3.33,3.33,4.00,pixel-collage
IMG_0374,3.33,1.33,3.33,2.00,2.67,voxel
IMG_0375,3.67,3.33,4.00,4.33,4.33,glitch
IMG_0376,3.67,3.00,4.33,3.67,4.33,algorithmic-stroke
IMG_0377,4.00,1.00,3.33,2.00,3.33,procedural-texture
IMG_0378,4.00,4.00,5.00,3.33,5.00,data-mapping
IMG_0379,4.33,2.67,4.33,2.67,4.33,voxel
IMG_0380,3.33,3.67,3.33,4.00,4.33,glitch
IMG_0381,3.33,2.00,3.33,2.33,2.67,procedural-texture
IMG_0382,3.33,3.00,3.67,3.67,3.67,optical-flow
IMG_0383,2.67,1.33,2.33,3.67,2.33,voxel
IMG_0384,3.33,4.00,1.67,4.33,3.67,glitch
IMG_0385,3.33,2.00,2.33,2.00,1.67,GAN-synthesised
IMG_0386,3.67,3.00,2.67,2.67,3.00,GAN-synthesised
IMG_0387,5.00,3.00,3.33,3.33,4.33,voxel
IMG_0388,4.33,2.00,3.33,1.67,2.67,GAN-synthesised
IMG_0389,2.33,4.00,4.00,4.33,3.67,noise-field
IMG_0390,4.67,2.00,3.00,4.00,3.67,glitch
IMG_0391,1.67,2.67,3.33,4.00,2.00,noise-field
IMG_0392,4.00,4.00,4.00,4.00,3.67,noise-field
IMG_0393,2.33,2.67,3.33,2.00,2.00,optical-flow
IMG_0394,2.33,3.67,3.33,4.00,3.33,glitch
IMG_0395,2.33,1.67,2.00,4.00,1.67,GAN-synthesised
IMG_0396,2.33,3.00,3.67,2.67,2.67,shader
IMG_0397,5.00,2.67,1.67,3.00,4.33,fractal
IMG_0398,3.33,2.00,3.33,2.33,2.33,GAN-synthesised
IMG_0399,2.00,3.33,4.67,4.00,3.67,algorithmic-stroke
IMG_0400,2.67,2.33,3.67,3.33,3.33,glitch
IMG_0401,4.67,3.33,4.00,3.67,5.00,fractal
IMG_0402,4.67,3.33,2.67,3.67,4.00,pixel-collage
IMG_0403,3.00,2.33,4.33,3.33,3.33,fractal
IMG_0404,4.00,3.33,4.00,3.67,4.33,voxel
IMG_0405,4.33,2.67,4.33,2.00,4.00,pixel-collage
IMG_0406,2.00,2.67,2.33,2.00,1.33,procedural-texture
IMG_0407,2.33,3.00,2.00,4.67,3.33,glitch
IMG_0408,2.33,3.33,3.33,4.00,3.00,noise-field
IMG_0409,4.33,2.67,3.67,3.00,4.00,fractal
IMG_0410,2.33,4.67,2.67,4.67,3.67,noise-field
IMG_0411,3.33,2.67,4.00,4.67,4.00,algorithmic-stroke
IMG_0412,2.00,3.00,2.33,3.67,2.67,fractal
IMG_0413,4.67,3.00,4.33,4.33,5.00,algorithmic-stroke
IMG_0414,3.00,1.33,2.67,2.00,1.67,GAN-synthesised
IMG_0415,2.33,4.67,3.67,3.00,3.00,shader
IMG_0416,3.67,2.67,2.00,2.67,3.67,pixel-collage
IMG_0417,1.67,2.33,2.33,4.33,2.33,noise-field
IMG_0418,3.33,2.00,2.00,2.00,1.67,voxel
IMG_0419,4.67,3.67,4.00,3.00,5.00,pixel-collage
IMG_0420,2.67,2.67,2.33,4.00,3.33,glitch
IMG_0421,5.00,3.33,4.67,3.00,5.00,voxel
IMG_0422,4.00,3.67,4.33,3.00,4.67,algorithmic-stroke
IMG_0423,2.67,2.67,3.33,4.00,2.67,voxel
IMG_0424,3.00,3.00,1.67,3.33,2.67,fractal
