图像ID,色彩协调性,构图新颖性,主题清晰度,感知技术复杂度,整体美学偏好,风格标签
IMG_0073,3.00,3.33,4.00,3.00,3.00,像素拼贴
IMG_0074,3.67,2.00,2.00,2.00,2.00,GAN 合成
IMG_0075,3.00,2.00,2.33,3.33,2.33,体素
IMG_0076,4.00,3.00,3.67,2.67,3.67,程序化纹理
IMG_0077,1.67,4.00,2.00,5.00,2.33,噪声场
IMG_0078,4.33,4.00,4.33,4.33,4.67,故障
IMG_0079,2.33,5.00,3.33,5.00,3.67,噪声场
IMG_0080,3.67,3.67,5.00,2.33,4.00,分形
IMG_0081,4.67,4.00,3.33,5.00,4.67,分形
IMG_0082,2.33,3.67,3.00,5.00,2.67,故障
IMG_0083,4.33,3.33,3.33,3.00,4.00,光流
IMG_0084,4.33,1.00,2.00,1.33,3.00,数据映射
IMG_0085,1.33,2.33,2.67,4.00,1.33,故障
IMG_0086,2.33,2.33,1.67,3.00,2.33,分形
IMG_0087,3.67,4.33,3.33,3.67,3.67,故障
IMG_0088,4.00,4.00,2.67,5.00,4.00,故障
IMG_0089,4.00,2.67,4.33,2.00,4.00,GAN 合成
IMG_0090,4.33,3.00,2.00,4.00,3.33,像素拼贴
IMG_0091,4.00,1.67,2.67,3.00,3.33,光流
IMG_0092,2.33,3.00,4.00,3.00,2.33,程序化纹理
IMG_0093,4.00,1.33,3.33,2.67,3.00,光流
IMG_0094,3.33,4.33,4.00,4.33,4.00,故障
IMG_0095,3.00,3.67,3.00,4.67,3.33,故障
IMG_0096,3.33,3.33,3.33,4.67,3.67,算法笔触
IMG_0097,4.33,2.33,4.33,3.33,3.67,体素
IMG_0098,3.67,3.33,3.67,3.00,2.67,着色器
IMG_0099,4.00,2.67,2.33,4.00,4.00,故障
IMG_0100,4.00,2.00,3.00,3.33,3.33,像素拼贴
IMG_0101,3.67,4.00,4.00,4.00,4.00,算法笔触
IMG_0102,4.00,2.33,3.00,3.00,4.00,体素
IMG_0103,2.33,2.33,3.33,2.33,3.00,故障
IMG_0104,3.00,4.00,5.00,2.33,3.33,数据映射
IMG_0105,2.00,2.33,2.33,3.67,2.33,故障
IMG_0106,3.67,2.00,3.00,2.67,3.00,分形
IMG_0107,3.33,3.33,2.33,5.00,3.00,故障
IMG_0108,3.00,2.67,3.00,4.33,3.67,噪声场
IMG_0109,3.33,4.00,4.33,4.00,4.33,故障
IMG_0110,3.67,2.67,3.00,3.00,4.00,故障
IMG_0111,4.00,1.33,4.00,3.00,3.67,程序化纹理
IMG_0112,5.00,2.33,3.00,2.67,4.00,体素
IMG_0113,4.00,3.33,4.67,3.00,4.33,像素拼贴
IMG_0114,4.33,3.00,4.33,3.67,4.67,算法笔触
IMG_0115,2.67,3.33,1.67,5.00,3.00,噪声场
IMG_0116,3.33,3.00,2.67,1.67,2.33,像素拼贴
IMG_0117,3.00,3.33,3.33,4.33,3.33,算法笔触
IMG_0118,5.00,5.00,4.67,3.00,5.00,故障
IMG_0119,3.33,1.67,2.33,4.00,3.00,GAN 合成
IMG_0120,2.67,3.33,2.67,4.33,3.00,算法笔触
IMG_0121,4.67,2.67,4.00,3.33,4.33,体素
IMG_0122,3.00,2.33,3.67,2.33,2.33,程序化纹理
IMG_0123,4.00,4.00,4.00,4.00,4.00,算法笔触
IMG_0124,3.00,4.67,4.33,4.00,4.33,噪声场
IMG_0125,1.67,3.33,2.33,4.33,2.67,故障
IMG_0126,3.00,4.33,3.00,5.00,3.33,噪声场
IMG_0127,1.67,3.67,4.00,2.33,2.00,光流
IMG_0128,2.67,2.67,1.00,4.67,2.33,分形
IMG_0129,4.00,2.00,3.33,2.33,3.00,GAN 合成
IMG_0130,4.33,3.00,2.33,3.67,4.00,像素拼贴
IMG_0131,2.00,5.00,4.67,4.00,3.33,故障
IMG_0132,2.67,1.67,2.00,4.00,2.00,故障
IMG_0133,3.33,3.00,2.00,2.67,2.67,故障
IMG_0134,3.00,2.33,3.00,3.67,2.67,故障
IMG_0135,2.67,4.67,3.00,4.67,3.67,故障
IMG_0136,2.67,3.33,4.00,4.33,3.33,故障
IMG_0137,2.67,1.33,3.00,2.33,2.00,数据映射
IMG_0138,1.67,2.67,2.67,4.33,2.33,故障
IMG_0139,4.00,2.67,3.00,5.00,3.67,噪声场
IMG_0140,2.67,2.33,2.00,5.00,3.00,算法笔触
IMG_0141,4.67,1.00,2.67,2.00,4.00,体素
IMG_0142,4.33,3.33,2.00,3.00,3.67,GAN 合成
IMG_0143,2.33,2.33,4.00,4.00,2.33,光流
IMG_0144,4.00,2.33,3.00,4.00,3.67,故障
IMG_0145,2.67,2.67,3.33,2.67,3.00,体素
IMG_0146,4.33,3.33,3.67,4.00,4.33,故障
IMG_0147,3.67,3.00,2.00,2.67,2.67,像素拼贴
IMG_0148,4.00,3.33,4.33,3.33,4.00,像素拼贴
IMG_0149,2.33,2.67,3.33,2.33,2.00,GAN 合成
IMG_0150,3.00,2.67,4.67,4.00,3.67,体素
IMG_0151,3.33,2.67,2.33,4.67,3.33,分形
IMG_0152,2.00,4.67,4.67,4.67,4.33,噪声场
IMG_0153,2.00,3.33,3.67,5.00,3.00,故障
IMG_0154,4.00,4.00,4.00,4.67,4.33,故障
IMG_0155,4.33,2.33,1.67,2.67,3.67,像素拼贴
IMG_0156,2.33,4.00,3.67,4.67,3.00,噪声场
IMG_0157,2.33,4.00,3.67,4.00,4.00,噪声场
IMG_0158,4.00,2.33,1.67,3.33,3.33,体素
IMG_0159,1.67,2.33,2.67,4.00,1.67,故障
IMG_0160,1.67,4.00,2.33,5.00,2.67,噪声场
IMG_0161,2.33,3.33,3.00,5.00,3.00,算法笔触
IMG_0162,4.67,3.33,4.67,3.00,5.00,体素
IMG_0163,3.00,2.33,2.33,4.67,3.67,分形
IMG_0164,3.00,3.67,3.00,5.00,4.33,算法笔触
IMG_0165,2.33,4.00,2.67,4.67,3.00,噪声场
IMG_0166,3.67,3.33,4.00,4.00,4.67,噪声场
IMG_0167,5.00,2.00,3.00,2.67,3.33,数据映射
IMG_0168,3.33,2.33,3.00,4.00,3.00,算法笔触
IMG_0169,5.00,3.33,3.67,4.00,5.00,分形
IMG_0170,3.00,1.67,2.00,1.67,1.33,程序化纹理
IMG_0171,2.67,3.33,3.00,5.00,3.00,噪声场
IMG_0172,3.33,2.00,2.67,3.00,3.00,GAN 合成
IMG_0173,5.00,4.00,4.00,4.33,5.00,分形
IMG_0174,2.67,2.00,3.00,2.00,2.00,程序化纹理
IMG_0175,4.67,2.33,4.00,2.33,5.00,体素
IMG_0176,2.00,3.33,3.00,4.67,2.67,算法笔触
IMG_0177,4.33,3.00,3.67,2.33,4.00,体素
IMG_0178,3.00,1.33,2.33,3.33,2.67,光流
IMG_0179,3.67,1.33,3.33,2.67,2.33,数据映射
IMG_0180,3.00,3.00,3.33,4.00,3.33,分形
IMG_0181,3.33,3.33,3.33,5.00,4.33,故障
IMG_0182,3.33,1.67,2.00,3.00,3.33,GAN 合成
IMG_0183,2.33,3.67,3.33,3.67,3.00,算法笔触
IMG_0184,2.00,1.33,1.00,4.00,1.67,算法笔触
IMG_0185,2.33,3.00,4.00,4.67,2.67,故障
IMG_0186,3.67,2.00,2.33,3.67,3.00,程序化纹理
IMG_0187,2.67,4.00,2.00,3.33,3.00,着色器
IMG_0188,2.00,4.67,2.00,4.67,2.33,分形
IMG_0189,4.33,3.67,2.67,4.00,4.00,噪声场
IMG_0190,3.33,2.33,3.00,3.67,3.00,算法笔触
IMG_0191,5.00,2.33,3.67,3.67,4.67,算法笔触
IMG_0192,4.00,1.33,2.67,3.00,3.00,分形
IMG_0193,4.00,1.00,2.33,2.67,2.67,体素
IMG_0194,2.00,3.67,3.33,4.67,3.00,分形
IMG_0195,3.00,2.33,3.00,3.67,3.33,体素
IMG_0196,3.33,1.67,2.00,4.33,3.33,分形
IMG_0197,2.67,3.33,3.00,4.33,3.00,噪声场
IMG_0198,4.67,3.00,4.33,4.33,5.00,算法笔触
IMG_0199,5.00,2.00,3.33,3.33,4.67,体素
IMG_0200,3.33,4.00,5.00,3.33,4.33,分形
IMG_0201,2.33,4.00,3.00,4.67,4.33,故障
IMG_0202,5.00,3.00,2.67,3.33,3.33,像素拼贴
IMG_0203,2.67,3.00,2.33,4.33,3.00,故障
IMG_0204,4.33,2.33,2.00,4.67,3.33,算法笔触
IMG_0205,2.33,4.00,3.67,4.67,3.33,噪声场
IMG_0206,1.67,4.33,3.00,4.33,3.00,噪声场
IMG_0207,2.67,3.33,3.67,5.00,3.67,故障
IMG_0208,4.33,1.67,3.33,3.00,4.00,光流
IMG_0209,3.67,5.00,5.00,3.67,4.67,故障
IMG_0210,4.00,2.00,3.00,1.67,3.33,数据映射
IMG_0211,3.00,2.67,2.00,1.33,2.67,数据映射
IMG_0212,4.00,3.33,4.67,4.00,4.33,算法笔触
IMG_0213,4.00,3.67,3.00,2.33,3.00,程序化纹理
IMG_0214,4.00,1.00,2.00,2.00,1.67,光流
IMG_0215,5.00,3.67,4.00,2.33,5.00,体素
IMG_0216,2.33,4.33,4.00,4.00,3.67,光流
IMG_0217,2.67,3.33,4.33,3.00,3.00,着色器
IMG_0218,2.67,3.00,3.33,4.00,3.33,故障
IMG_0219,2.00,4.33,3.00,4.33,3.33,故障
IMG_0220,5.00,2.00,3.00,2.00,4.67,分形
IMG_0221,2.67,2.33,1.33,4.67,2.67,分形
IMG_0222,2.00,4.67,4.00,4.67,3.33,噪声场
IMG_0223,3.00,2.33,2.00,3.67,2.33,分形
IMG_0224,2.00,3.67,1.67,4.33,2.33,分形
IMG_0225,2.67,3.33,2.67,3.67,2.33,故障
IMG_0226,5.00,4.00,4.33,4.33,4.67,噪声场
IMG_0227,4.33,3.00,2.33,4.00,3.67,分形
IMG_0228,1.67,5.00,4.33,4.33,3.33,故障
IMG_0229,3.33,3.33,4.33,3.00,3.67,着色器
IMG_0230,3.33,3.33,2.67,4.67,4.00,故障
IMG_0231,4.00,2.00,3.33,2.00,3.33,程序化纹理
IMG_0232,2.67,2.33,2.33,4.33,2.67,算法笔触
IMG_0233,4.67,1.67,3.00,2.67,3.67,像素拼贴
IMG_0234,4.00,1.33,2.67,2.67,3.33,光流
IMG_0235,3.00,2.33,4.00,2.33,3.67,分形
IMG_0236,3.67,1.33,3.67,2.67,3.33,分形
IMG_0237,3.00,2.00,3.00,4.33,3.00,故障
IMG_0238,2.33,4.33,4.00,4.67,4.00,分形
IMG_0239,3.67,1.00,2.67,2.00,2.67,GAN 合成
IMG_0240,4.33,3.00,5.00,3.67,5.00,体素
IMG_0241,2.00,3.00,3.67,3.67,3.00,噪声场
IMG_0242,2.00,4.00,3.67,4.00,3.67,分形
IMG_0243,3.00,1.33,2.67,2.67,2.00,GAN 合成
IMG_0244,2.00,3.00,3.67,4.00,2.33,算法笔触
IMG_0245,2.67,4.33,3.67,4.00,3.00,噪声场
IMG_0246,4.33,3.00,5.00,3.00,4.67,数据映射
IMG_0247,3.00,3.67,2.33,4.00,2.67,噪声场
IMG_0248,2.67,1.00,2.33,2.67,1.67,程序化纹理
IMG_0249,5.00,2.67,3.33,3.33,4.67,体素
IMG_0250,3.33,3.00,3.67,1.33,3.33,着色器
IMG_0251,3.00,4.00,2.33,5.00,3.00,噪声场
IMG_0252,3.00,2.33,4.67,2.33,2.33,程序化纹理
IMG_0253,3.33,4.00,4.67,3.33,3.67,像素拼贴
IMG_0254,2.67,5.00,4.67,4.00,4.33,噪声场
IMG_0255,3.67,2.33,3.00,3.67,3.67,噪声场
IMG_0256,3.00,4.00,5.00,2.00,3.33,体素
IMG_0257,2.33,3.33,4.67,2.33,3.67,着色器
IMG_0258,4.00,2.00,3.00,3.67,3.67,分形
IMG_0259,2.67,3.67,2.67,5.00,2.67,故障
IMG_0260,3.33,3.33,4.00,2.33,3.67,像素拼贴
IMG_0261,2.67,3.67,2.00,5.00,3.00,故障
IMG_0262,2.67,1.67,3.67,1.67,2.00,数据映射
IMG_0263,3.67,2.00,4.00,2.67,3.67,程序化纹理
IMG_0264,3.00,4.67,4.00,4.00,3.67,故障
IMG_0265,2.67,2.33,2.67,3.00,2.67,程序化纹理
IMG_0266,3.00,3.00,2.67,4.67,2.67,算法笔触
IMG_0267,4.00,2.00,3.33,2.33,3.00,程序化纹理
IMG_0268,4.67,1.33,1.33,3.00,2.67,GAN 合成
IMG_0269,3.33,3.67,3.67,2.67,3.33,GAN 合成
IMG_0270,3.33,3.67,1.33,5.00,3.67,噪声场
IMG_0271,3.00,3.33,4.33,4.33,3.67,噪声场
IMG_0272,4.00,4.67,3.33,5.00,4.67,故障
IMG_0273,3.67,2.67,4.67,2.00,4.00,体素
IMG_0274,3.00,3.00,2.33,2.67,2.00,程序化纹理
IMG_0275,3.00,3.67,1.67,3.67,3.00,故障
IMG_0276,5.00,2.33,4.00,3.33,4.67,分形
IMG_0277,4.67,1.00,3.33,2.00,3.33,体素
IMG_0278,4.00,2.67,2.67,3.67,3.67,故障
IMG_0279,3.00,3.00,2.67,5.00,3.33,分形
IMG_0280,4.00,4.67,3.67,4.67,4.67,噪声场
IMG_0281,3.00,3.00,3.00,2.33,2.00,光流
IMG_0282,3.33,4.00,5.00,2.00,4.00,程序化纹理
IMG_0283,2.33,2.33,2.00,4.00,1.67,算法笔触
IMG_0284,5.00,1.67,3.33,2.67,4.00,算法笔触
IMG_0285,2.33,4.33,4.33,4.33,3.33,噪声场
IMG_0286,4.67,2.33,3.67,4.00,4.00,体素
IMG_0287,3.67,4.00,3.33,4.00,4.33,故障
IMG_0288,2.00,4.33,4.00,3.67,3.00,噪声场
IMG_0289,3.33,2.00,2.00,2.33,2.33,像素拼贴
IMG_0290,4.00,3.00,3.67,3.00,3.67,程序化纹理
IMG_0291,3.67,1.67,4.33,3.67,3.00,体素
IMG_0292,4.33,2.00,3.33,3.33,4.00,分形
IMG_0293,2.33,2.67,1.33,4.00,1.67,算法笔触
IMG_0294,3.00,5.00,3.67,4.67,4.00,噪声场
IMG_0295,2.67,4.00,4.67,2.67,4.00,体素
IMG_0296,3.33,3.67,2.00,4.33,4.00,GAN 合成
IMG_0297,2.00,4.33,3.67,5.00,3.67,故障
IMG_0298,1.67,3.33,2.67,3.00,2.00,光流
IMG_0299,4.33,3.00,2.33,3.00,3.33,数据映射
IMG_0300,2.00,4.33,3.00,3.00,1.67,光流
IMG_0301,3.00,2.33,3.67,2.67,3.00,数据映射
IMG_0302,2.67,4.67,4.33,4.33,3.67,噪声场
IMG_0303,5.00,2.33,4.33,3.00,4.67,分形
IMG_0304,2.67,2.00,3.00,4.00,2.00,算法笔触
IMG_0305,4.33,2.33,4.00,3.00,5.00,分形
IMG_0306,2.00,3.67,3.33,4.67,3.33,噪声场
IMG_0307,3.67,3.00,3.00,4.00,4.00,像素拼贴
IMG_0308,4.00,4.00,3.00,2.33,4.00,着色器
IMG_0309,2.67,4.00,4.33,4.33,3.00,噪声场
IMG_0310,2.00,3.33,2.33,4.00,2.67,故障
IMG_0311,3.00,3.67,5.00,4.00,4.33,噪声场
IMG_0312,3.67,1.67,3.33,3.33,3.00,分形
IMG_0313,4.33,4.00,3.67,3.67,5.00,像素拼贴
IMG_0314,2.33,2.33,4.00,3.00,2.33,程序化纹理
IMG_0315,3.00,2.00,4.00,3.33,3.67,光流
IMG_0316,4.33,2.00,3.67,3.67,4.00,分形
IMG_0317,3.67,3.33,4.00,3.00,4.33,光流
IMG_0318,4.00,3.00,2.67,4.00,3.67,故障
IMG_0319,2.33,4.00,3.00,4.33,2.33,着色器
IMG_0320,4.33,4.00,4.33,3.33,4.67,体素
IMG_0321,4.00,2.67,4.33,2.00,4.00,数据映射
IMG_0322,3.00,3.67,3.00,2.33,3.00,数据映射
IMG_0323,4.33,2.33,2.67,4.00,4.00,算法笔触
IMG_0324,2.67,2.67,3.33,3.00,3.33,分形
IMG_0325,2.67,3.00,4.00,4.00,3.33,算法笔触
IMG_0326,2.67,3.00,2.00,2.67,1.33,数据映射
IMG_0327,3.00,2.00,4.00,3.00,3.33,体素
IMG_0328,3.33,3.67,4.00,3.33,3.67,体素
IMG_0329,4.33,2.67,2.67,3.67,3.67,光流
IMG_0330,2.00,4.67,3.00,4.67,3.00,故障
IMG_0331,4.00,1.67,4.00,2.33,2.67,体素
IMG_0332,4.67,4.00,4.67,4.00,5.00,算法笔触
IMG_0333,3.00,4.00,4.33,3.67,3.67,故障
IMG_0334,5.00,1.67,3.67,3.00,4.00,像素拼贴
IMG_0335,2.00,4.33,4.33,4.67,3.33,故障
IMG_0336,2.67,2.00,4.00,3.33,2.33,体素
IMG_0337,2.67,2.33,2.67,4.00,2.33,故障
IMG_0338,3.00,4.00,4.33,3.67,3.00,程序化纹理
IMG_0339,3.67,4.33,4.00,3.67,4.67,体素
IMG_0340,2.67,1.67,2.00,3.33,1.33,程序化纹理
IMG_0341,3.67,2.67,3.33,3.00,2.67,故障
IMG_0342,2.67,2.67,2.67,3.67,2.33,程序化纹理
IMG_0343,2.67,4.33,4.33,3.00,3.00,故障
IMG_0344,2.33,5.00,5.00,4.00,3.67,噪声场
IMG_0345,3.33,2.67,4.67,2.33,4.00,体素
IMG_0346,5.00,1.00,2.67,1.67,3.00,体素
IMG_0347,4.00,2.67,3.33,3.67,3.67,像素拼贴
IMG_0348,3.00,4.33,2.67,4.67,3.33,故障
IMG_0349,2.00,3.33,3.33,4.00,3.00,噪声场
IMG_0350,2.67,3.67,3.00,3.67,2.67,像素拼贴
IMG_0351,2.00,4.33,2.67,4.67,3.00,噪声场
IMG_0352,3.00,1.33,1.67,4.00,3.00,分形
IMG_0353,3.67,3.00,4.00,2.33,3.67,GAN 合成
IMG_0354,4.00,4.00,5.00,3.67,4.67,像素拼贴
IMG_0355,3.67,2.00,2.67,2.00,2.33,数据映射
IMG_0356,3.00,4.67,2.67,4.33,3.67,噪声场
IMG_0357,5.00,1.33,4.00,1.67,3.67,光流
IMG_0358,2.00,3.33,4.00,4.33,3.00,故障
IMG_0359,2.00,3.33,2.33,4.33,2.67,噪声场
IMG_0360,2.33,3.67,3.33,3.67,2.33,体素
IMG_0361,2.00,3.00,4.33,5.00,3.33,算法笔触
IMG_0362,3.67,4.67,5.00,4.67,4.67,噪声场
IMG_0363,3.33,1.00,2.00,3.33,2.33,算法笔触
IMG_0364,4.33,1.67,2.33,2.33,4.00,GAN 合成
IMG_0365,3.33,1.67,3.33,2.00,3.00,程序化纹理
IMG_0366,2.67,4.00,3.33,4.33,2.67,噪声场
IMG_0367,3.00,3.33,3.00,4.33,3.00,噪声场
IMG_0368,3.67,1.33,4.33,3.00,3.00,体素
IMG_0369,2.67,2.33,2.33,3.33,2.00,故障
IMG_0370,4.00,3.67,4.00,3.33,3.67,GAN 合成
IMG_0371,5.00,2.33,3.67,3.33,4.67,像素拼贴
IMG_0372,3.33,3.33,2.33,2.33,2.00,着色器
IMG_0373,4.67,1.67,3.33,3.33,4.00,像素拼贴
IMG_0374,3.33,1.33,3.33,2.00,2.67,体素
IMG_0375,3.67,3.33,4.00,4.33,4.33,故障
IMG_0376,3.67,3.00,4.33,3.67,4.33,算法笔触
IMG_0377,4.00,1.00,3.33,2.00,3.33,程序化纹理
IMG_0378,4.00,4.00,5.00,3.33,5.00,数据映射
IMG_0379,4.33,2.67,4.33,2.67,4.33,体素
IMG_0380,3.33,3.67,3.33,4.00,4.33,故障
IMG_0381,3.33,2.00,3.33,2.33,2.67,程序化纹理
IMG_0382,3.33,3.00,3.67,3.67,3.67,光流
IMG_0383,2.67,1.33,2.33,3.67,2.33,体素
IMG_0384,3.33,4.00,1.67,4.33,3.67,故障
IMG_0385,3.33,2.00,2.33,2.00,1.67,GAN 合成
IMG_0386,3.67,3.00,2.67,2.67,3.00,GAN 合成
IMG_0387,5.00,3.00,3.33,3.33,4.33,体素
IMG_0388,4.33,2.00,3.33,1.67,2.67,GAN 合成
IMG_0389,2.33,4.00,4.00,4.33,3.67,噪声场
IMG_0390,4.67,2.00,3.00,4.00,3.67,故障
IMG_0391,1.67,2.67,3.33,4.00,2.00,噪声场
IMG_0392,4.00,4.00,4.00,4.00,3.67,噪声场
IMG_0393,2.33,2.67,3.33,2.00,2.00,光流
IMG_0394,2.33,3.67,3.33,4.00,3.33,故障
IMG_0395,2.33,1.67,2.00,4.00,1.67,GAN 合成
IMG_0396,2.33,3.00,3.67,2.67,2.67,着色器
IMG_0397,5.00,2.67,1.67,3.00,4.33,分形
IMG_0398,3.33,2.00,3.33,2.33,2.33,GAN 合成
IMG_0399,2.00,3.33,4.67,4.00,3.67,算法笔触
IMG_0400,2.67,2.33,3.67,3.33,3.33,故障
IMG_0401,4.67,3.33,4.00,3.67,5.00,分形
IMG_0402,4.67,3.33,2.67,3.67,4.00,像素拼贴
IMG_0403,3.00,2.33,4.33,3.33,3.33,分形
IMG_0404,4.00,3.33,4.00,3.67,4.33,体素
IMG_0405,4.33,2.67,4.33,2.00,4.00,像素拼贴
IMG_0406,2.00,2.67,2.33,2.00,1.33,程序化纹理
IMG_0407,2.33,3.00,2.00,4.67,3.33,故障
IMG_0408,2.33,3.33,3.33,4.00,3.00,噪声场
IMG_0409,4.33,2.67,3.67,3.00,4.00,分形
IMG_0410,2.33,4.67,2.67,4.67,3.67,噪声场
IMG_0411,3.33,2.67,4.00,4.67,4.00,算法笔触
IMG_0412,2.00,3.00,2.33,3.67,2.67,分形
IMG_0413,4.67,3.00,4.33,4.33,5.00,算法笔触
IMG_0414,3.00,1.33,2.67,2.00,1.67,GAN 合成
IMG_0415,2.33,4.67,3.67,3.00,3.00,着色器
IMG_0416,3.67,2.67,2.00,2.67,3.67,像素拼贴
IMG_0417,1.67,2.33,2.33,4.33,2.33,噪声场
IMG_0418,3.33,2.00,2.00,2.00,1.67,体素
IMG_0419,4.67,3.67,4.00,3.00,5.00,像素拼贴
IMG_0420,2.67,2.67,2.33,4.00,3.33,故障
IMG_0421,5.00,3.33,4.67,3.00,5.00,体素
IMG_0422,4.00,3.67,4.33,3.00,4.67,算法笔触
IMG_0423,2.67,2.67,3.33,4.00,2.67,体素
IMG_0424,3.00,3.00,1.67,3.33,2.67,分形
IMG_0425,3.00,3.00,3.33,3.67,3.33,故障
IMG_0426,2.33,4.33,3.67,4.33,4.00,噪声场
IMG_0427,3.00,3.00,3.00,2.00,2.67,着色器
IMG_0428,3.00,3.33,3.33,4.67,3.67,算法笔触
IMG_0429,4.00,3.00,4.33,3.00,4.67,体素
IMG_0430,2.33,2.00,2.67,3.33,2.33,GAN 合成
IMG_0431,3.33,2.67,2.67,4.00,3.33,粒子
IMG_0432,2.67,3.00,4.33,3.33,3.67,数据映射
IMG_0433,4.00,2.33,1.00,1.67,2.33,GAN 合成
IMG_0434,2.00,3.67,2.67,4.00,2.67,故障
IMG_0435,3.00,2.00,2.33,3.33,2.67,分形
IMG_0436,2.00,3.00,3.00,4.33,3.00,故障
IMG_0437,3.00,3.67,3.67,2.67,2.67,光流
IMG_0438,3.33,1.67,2.00,2.33,2.67,体素
IMG_0439,3.00,2.00,4.33,2.33,2.33,程序化纹理
IMG_0440,2.67,4.33,5.00,3.67,4.67,噪声场
IMG_0441,4.67,2.33,2.33,2.67,4.33,体素
